Brasil;OPCAO;1980;1991;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;2015;2016;2017;2018;2019
BR;EF;80.1;83.8;87.5;;95.3;95.4;94.3;93.1;93.7;93.8;93.8;94.4;94.8;94.6;94.9;95.3;95.5;96.1;96.1;96.3;96.5;97.3;97.7;98.0;98.0
BR;EM;14.3;17.6;20.8;;30.8;32.6;33.3;36.9;40.0;43.1;44.4;45.3;47.1;48.0;50.4;50.9;51.6;54.0;55.1;56.3;56.9;67.4;67.6;68.7;71.1
BR;ES;;;;6.2;;;;;;;12.2;;;;;;14.6;16.6;17.1;18.2;19.3;20.7;19.9;21.8;21.5
